F-PkgTimeStamp,Fx,Fy,Fz,T-PkgTimeStamp,Tx,Ty,Tz,Rx,Ry,Rz
0.005329,7.070000,-2.560000,-9.720000,0.005471,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.006844,7.070000,-2.560000,-9.720000,0.006986,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.008671,7.080000,-2.550000,-9.720000,0.008812,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.010186,7.080000,-2.550000,-9.720000,0.010328,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.012009,7.090000,-2.540000,-9.700000,0.012149,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.013522,7.090000,-2.540000,-9.700000,0.013662,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.015349,7.090000,-2.540000,-9.710000,0.015489,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.016863,7.090000,-2.540000,-9.710000,0.017004,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.018691,7.100000,-2.540000,-9.730000,0.018832,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.020213,7.100000,-2.540000,-9.730000,0.020354,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.022034,7.070000,-2.570000,-9.660000,0.022175,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.023544,7.070000,-2.570000,-9.660000,0.023685,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.025375,7.030000,-2.580000,-9.600000,0.025519,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.026884,7.030000,-2.580000,-9.600000,0.027029,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.028710,7.090000,-2.560000,-9.780000,0.028850,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.030225,7.090000,-2.560000,-9.780000,0.030364,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.032053,7.080000,-2.540000,-9.700000,0.032194,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.033564,7.080000,-2.540000,-9.700000,0.033705,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.035391,7.070000,-2.560000,-9.630000,0.035532,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.036905,7.070000,-2.560000,-9.630000,0.037046,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.038732,7.040000,-2.570000,-9.730000,0.038873,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.040245,7.040000,-2.570000,-9.730000,0.040386,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.042072,7.080000,-2.570000,-9.660000,0.042213,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.043588,7.080000,-2.570000,-9.660000,0.043728,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.045411,7.020000,-2.590000,-9.670000,0.045553,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.046930,7.020000,-2.590000,-9.670000,0.047071,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.048757,7.070000,-2.540000,-9.690000,0.048899,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.050267,7.070000,-2.540000,-9.690000,0.050409,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.052092,7.040000,-2.540000,-9.670000,0.052233,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.053607,7.040000,-2.540000,-9.670000,0.053748,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.055435,7.040000,-2.580000,-9.690000,0.055578,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.056949,7.040000,-2.580000,-9.690000,0.057092,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.058777,7.030000,-2.570000,-9.730000,0.058919,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.060291,7.030000,-2.570000,-9.730000,0.060434,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.062126,7.080000,-2.560000,-9.720000,0.062267,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.063628,7.080000,-2.560000,-9.720000,0.063769,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.065455,7.040000,-2.590000,-9.670000,0.065598,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.066975,7.040000,-2.590000,-9.670000,0.067118,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.068796,7.080000,-2.560000,-9.730000,0.068937,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.070310,7.080000,-2.560000,-9.730000,0.070451,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.072137,7.070000,-2.550000,-9.790000,0.072279,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.073649,7.070000,-2.550000,-9.790000,0.073791,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.075476,7.020000,-2.590000,-9.700000,0.075617,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.076989,7.020000,-2.590000,-9.700000,0.077130,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.078815,7.060000,-2.560000,-9.750000,0.078956,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.080330,7.060000,-2.560000,-9.750000,0.080470,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.082155,7.100000,-2.570000,-9.820000,0.082298,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.083672,7.100000,-2.570000,-9.820000,0.083814,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.085499,7.090000,-2.540000,-9.670000,0.085641,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.087010,7.090000,-2.540000,-9.670000,0.087151,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.088841,7.100000,-2.540000,-9.670000,0.088981,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.090350,7.100000,-2.540000,-9.670000,0.090490,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
0.092176,7.090000,-2.560000,-9.720000,0.092317,-0.080000,-0.180000,0.140000,0.500000,0.500000,0.500000
